"site","year","day","tasmin","tasmax","tasmean"
"SPW","2012","June_02",10.5688053273089,16.6999686128184,13.6343869700637
"SPW","2012","June_03",9.38283036587894,11.2086765756737,10.2957534707763
"SPW","2012","June_04",6.26858501232909,13.8882979038028,10.0784414580659
"SPW","2012","June_05",3.88850148714296,15.7160277524242,9.8022646197836
"SPW","2012","June_06",10.8152586185478,18.6410047640706,14.7281316913092
"SPW","2012","June_07",11.2895447969437,17.3520662552547,14.3208055260992
"SPW","2012","June_08",11.5634886864285,14.5387779611839,13.0511333238062
"SPW","2012","June_09",9.78416900048188,17.1212779076694,13.4527234540756
"SPW","2012","June_10",4.99019758876153,18.2511713989522,11.6206844938569
"SPW","2012","June_11",10.6025376919087,12.3532861883955,11.4779119401521
"SPW","2012","June_12",9.39509649402578,14.5285848648693,11.9618406794475
"SPW","2012","June_13",3.96865711158989,17.213608220195,10.5911326658924
"SPW","2012","June_14",5.64539969955205,17.5479571804636,11.5966784400078
"SPW","2012","June_15",10.9979353521763,18.2192430451566,14.6085891986665
"SPW","2012","June_16",10.7408613125997,17.8001068506538,14.2704840816267
"SPW","2012","June_17",11.0237569672439,19.3601743181465,15.1919656426952
"SPW","2012","June_18",10.599682599517,18.5120712653701,14.5558769324436
"SPW","2012","June_19",7.84025962876397,20.3470436458866,14.0936516373253
"SPW","2012","June_20",8.20442404394496,21.2279494045508,14.7161867242479
"SPW","2012","June_21",10.9831238134266,19.8354695787341,15.4092966960804
"SPW","2012","June_22",10.2276340912351,17.2720997511778,13.7498669212065
"SPW","2012","June_23",9.64602785029214,18.4262067734239,14.036117311858
"SPW","2012","June_24",10.5030258841585,19.1206783577468,14.8118521209526
"SPW","2012","June_25",9.99106356910222,20.7712236429235,15.3811436060129
"SPW","2012","June_26",11.0549615707702,22.0682454349371,16.5616035028537
"SPW","2012","June_27",16.6503573771316,23.34132508059,19.9958412288608
"SPW","2012","June_28",15.1964378401248,27.0385200844024,21.1174789622636
"SPW","2012","June_29",11.9668643948925,20.6188554207122,16.2928599078023
"SPW","2012","June_30",14.148226195657,20.3369094557677,17.2425678257124
"SPW","2013","April_01",-1.0781800299073,5.32217371340732,2.12199684175001
"SPW","2013","April_02",-2.2416670003111,7.61179530617996,2.68506415293443
"SPW","2013","April_03",-1.42572060484661,5.61268252376826,2.09348095946082
"SPW","2013","April_04",-0.547522493259447,3.41578150197404,1.4341295043573
"SPW","2013","April_05",-0.0356064075863391,8.00423016024905,3.98431187633136
"SPW","2013","April_06",-1.52736047086088,9.95830973284411,4.21547463099161
"SPW","2013","April_07",-4.07437802775089,10.0261540298242,2.97588800103664
"SPW","2013","April_08",0.959264804578134,9.94115239260653,5.45020859859233
"SPW","2013","April_09",0.95034346041428,9.7058929611292,5.32811821077174
"SPW","2013","April_10",1.63021634489306,11.4643947556239,6.54730555025848
"SPW","2013","April_11",3.30541553970318,9.7462753283938,6.52584543404849
"SPW","2013","April_12",4.89706764883714,11.5560097739253,8.22653871138119
"SPW","2013","April_13",2.78934321716891,15.2905740243961,9.03995862078251
"SPW","2013","April_14",8.04928014906767,19.6579888544582,13.8536345017629
"SPW","2013","April_15",9.54462724991681,16.3514441232799,12.9480356865984
"SPW","2013","April_16",8.5068802896035,16.6961391812257,12.6015097354146
"SPW","2013","April_17",7.34835694263278,17.8036118282388,12.5759843854358
"SPW","2013","April_18",7.96707356245688,14.8116627365239,11.3893681494904
"SPW","2013","April_19",6.19134984001451,11.8059297786688,8.99863980934166
"SPW","2013","April_20",-1.02847302975928,13.3883033542404,6.17991516224054
