site,year,peak_cater_fit,peak_cater_lwr,peak_cater_upr,height_cater_fit,height_cater_lwr,height_cater_upr,box,species,cltsize,fledged,dfe,outcome,avg_cltsize,cltsize_final,mismatch_cater,height_cater_log,mean_tasmin_April,mean_tasmin_May,mean_tasmin_June,mean_tasmax_April,mean_tasmax_May,mean_tasmax_June,tasmean_April,tasmean_May,tasmean_June,tasmean_AprMay,mean_tasmin_AprMay,mean_tasmax_AprMay
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,12C,GRETI,NA,5,37,NE,7.25,7.25,4.095455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,17C,BLUTI,NA,4,38,NE,9.675675676,9.675675676,7.521130813,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,18C,GRETI,NA,5,37,NE,7.25,7.25,4.095455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,21C,BLUTI,NA,4,34,NE,9.675675676,9.675675676,3.521130813,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,23C,BLUTI,NA,4,34,NE,9.675675676,9.675675676,3.521130813,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,24C,BLUTI,NA,5,41,NE,9.675675676,9.675675676,10.52113081,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,2D,BLUTI,NA,5,37,NE,9.675675676,9.675675676,6.521130813,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,5D,BLUTI,NA,6,36,NE,9.675675676,9.675675676,5.521130813,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,15D,BLUTI,NA,4,42,NE,9.675675676,9.675675676,11.52113081,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,17D,BLUTI,NA,7,31,NE,9.675675676,9.675675676,0.521130813,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
