BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,DAR,N1,DFE,DH,MinEggs,UnHatch,AverageMass,Outcome,MaleID,MaleDate,MaleRingDate,MaleStatus,MaleMinAge,FemaleID,FemaleDate,FemaleRingDate,FemaleStatus,FemaleMinAge,YoungDate,Young1,Young2,Young3,Young4,Young5,Young6,Young7,Young8,Young9,Young10,Young11,Weight.Y1,Tarsus.Y1,Weight.Y2,Tarsus.Y2,Weight.Y3,Tarsus.Y3,Weight.Y4,Tarsus.Y4,Weight.Y5,Tarsus.Y5,Weight.Y6,Tarsus.Y6,Weight.Y7,Tarsus.Y7,Weight.Y8,Tarsus.Y8,Weight.Y9,Tarsus.Y9,Weight.Y10,Tarsus.Y10,Weight.Y11,Tarsus.Y11
90,1964,25,YAR,PIEFL,1,7,7,7,,,44,,,,,NE,K99781,,08/06/1960,S,4,AH03623,20/05/1964,20/05/1964,I,1,11/06/1964,AH03635,AH03636,AH03637,AH03638,AH03639,AH03640,AH03641,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1964,34,YAR,PIEFL,1,7,7,7,,,40,,,,,NE,K99781,,08/06/1960,S,4,AC36393,11/06/1964,04/06/1963,S,2,11/06/1964,AH03624,AH03625,AH03626,AH03627,AH03628,AH03629,AH03630,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1965,7,YAR,REDST,1,6,6,6,,,46,,,,,NE,,,,,,AH03649,08/06/1965,08/06/1965,I,1,12/06/1965,AH03659,AH03660,AH03661,AH03662,AH03663,AH03664,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1965,20,YAR,REDST,1,7,7,7,,,46,,,,,NE,,,,,,AH03647,29/05/1965,29/05/1965,I,1,12/06/1965,AH03672,AH03673,AH03674,AH03675,AH03676,AH03677,AH03678,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1965,33,YAR,PIEFL,1,8,8,8,,,41,,,,,NE,K99781,12/06/1965,08/06/1960,S,5,AC36392,20/05/1965,23/05/1963,S,3,12/06/1964,AH03651,AH03652,AH03653,AH03654,AH03655,AH03656,AH03657,AH03658,,,,,,,,,,,,,,,,,,,,,,,,,
95,1965,35,YAR,REDST,1,7,7,7,,,43,,,,,NE,,,,,,,,,,,12/06/1965,AH03665,AH03666,AH03667,AH03668,AH03669,AH03670,AH03671,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1965,42,YAR,PIEFL,1,7,,4,,,59,,,,,NE,AH03614,30/06/1965,17/06/1963,R,2,AH03648,08/06/1965,08/06/1965,I,1,30/06/1965,AR72137,AR72138,AR72139,AR72140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1965,48,YAR,PIEFL,1,7,7,5,,,52,,,,,NE,AH03650,12/06/1965,12/06/1965,I,1,AH03628,29/05/1965,11/06/1964,R,1,20/06/1965,AH03679,AH03680,AH03681,AH03682,AH03683,AH03684,AH03685,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1966,1,YAR,GRETI,1,9,9,9,,,29,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1966,11,YAR,REDST,1,6,6,6,,,33,,,,,NE,,,,,,,,,,,16/06/1966,HC10479,HC10480,HC10481,HC10482,HC10483,HC10484,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1966,12,YAR,PIEFL,1,8,8,7,,,48,,,,,NE,K99781,03/06/1966,08/06/1960,S,6,AC36392,26/05/1966,23/05/1963,S,4,16/06/1966,HC10485,HC10486,HC10487,HC10488,HC10489,HC10490,HC10491,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1966,18,YAR,GRETI,1,7,7,7,,,,,,,,NE,,,,,,,,,,,03/06/1966,HC10350,HC10351,HC10352,HC10353,HC10354,HC10355,HC10356,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1966,22,YAR,REDST,1,6,3,3,,,34,,,,,NE,,,,,,,,,,,15/06/1966,HC10468,HC10469,HC10470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1966,23,YAR,GRETI,1,9,9,9,,,32,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1966,26,YAR,PIEFL,1,7,7,7,,,41,,,,,NE,K99781,,08/06/1960,S,6,AH03648,18/05/1966,08/06/1965,S,2,09/06/1966,HC10434,HC10435,HC10436,HC10437,HC10438,HC10439,HC10440,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1966,26,YAR,GRETI,1,9,,8,,,,,,,,NE,,,,,,,,,,,03/06/1966,HC10369,HC10370,HC10371,HC10372,HC10373,HC10374,HC10375,HC10376,,,,,,,,,,,,,,,,,,,,,,,,,
106,1966,28,YAR,REDST,1,6,6,6,,,37,,,,,NE,,,,,,,,,,,03/06/1966,HC10377,HC10378,HC10379,HC10380,HC10381,HC10382,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1966,33,YAR,PIEFL,1,6,6,6,,,48,,,,,NE,HC10429,06/06/1966,06/06/1966,I,1,HC10324,26/05/1966,26/05/1966,I,1,15/06/1966,HC10442,HC10443,HC10444,HC10445,HC10446,HC10447,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1966,41,YAR,PIEFL,1,6,,4,,,50,,,,,NE,AH03650,15/06/1966,12/06/1965,S,2,AH03658,26/05/1966,11/06/1964,R,1,15/06/1966,HC10448,HC10449,HC10450,HC10451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1966,42,YAR,MARTI,1,9,0,0,,,,,,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1966,48,YAR,PIEFL,1,6,2,2,,,39,,,4,,NE,HC10327,31/05/1966,31/05/1966,I,1,HC10320,18/05/1966,18/05/1966,I,1,01/06/1966,HC10432,HC10433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1966,FOUR-01,YAR,BLUTI,1,12,,10,,,29,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1966,FOUR-06,YAR,BLUTI,1,12,12,12,,,30,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1966,FOUR-07,YAR,BLUTI,1,10,10,10,,,27,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1966,FOUR-08,YAR,BLUTI,1,10,,9,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1966,FOUR-10,YAR,BLUTI,1,10,10,10,,,29,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1966,FOUR-11,YAR,BLUTI,1,10,10,10,,,29,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1966,FOUR-12,YAR,MARTI,1,,0,0,,,,,1,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1966,FOUR-13,YAR,BLUTI,1,10,10,10,,,31,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1966,FOUR-17,YAR,BLUTI,1,10,,9,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
