site,trap,year,hab,frass peak day,cater peak day,cater model max,cater actual max,,,,,
TRESWELL,3,2015,OK,52.80995281,58.22159492,346.7057226,277,,,,,
TRESWELL,5,2015,OK,53.07935255,60.99640934,858.5443427,287,,,,,
TRESWELL,2,2015,AH,,,,,,,,,
TRESWELL,4,2015,AH,,,,,,,,,
TRESWELL,6,2015,AH,,,,,,,,,
TRESWELL,1,2016,OK,53.01724138,60.65857886,196.4158252,260.2,,,,,
TRESWELL,3,2016,OK,52.49505929,51.8989899,177.7855557,199.4,,,,,
TRESWELL,5,2016,OK,57.29695431,53.1592521,279.3776116,243.7,,,,,
TRESWELL,2,2016,AH,,,,,,,,,
TRESWELL,4,2016,AH,,,,,,,,,
TRESWELL,6,2016,AH,,,,,,,,,
TRESWELL,1,2017,OK,,,,,,,,,
TRESWELL,3,2017,OK,,,,,,,,,
TRESWELL,5,2017,OK,,,,,,,,,
TRESWELL,2,2017,AH,48.92422825,,,,,,,,
TRESWELL,4,2017,AH,,,,,,,,,
TRESWELL,6,2017,AH,,,,,,,,,
TRESWELL,1,2018,OK,50.12862918,49.36739659,1658.078767,861,,,,,
TRESWELL,3,2018,OK,48.94884373,48.40564558,2569.184885,1963,,,,,
TRESWELL,5,2018,OK,46.05130785,45.65814784,235.7408026,327.1,,,,,
TRESWELL,2,2018,AH,50.05475594,49.8005698,1629.625338,430.5,,,,,
TRESWELL,4,2018,AH,52.59429048,51.28571429,266.3017329,268,,,,,
TRESWELL,6,2018,AH,50.27744149,51.34730539,308.7748206,151,,,,,
TRESWELL,1,2019,OK,41.27777778,47.56690998,164.5525426,128.3,,,,,
TRESWELL,3,2019,OK,46.7688287,45.5142453,729.2325173,1009,,,,,
TRESWELL,5,2019,OK,52.30118443,51.12474438,133.3628514,118,,,,,
TRESWELL,2,2019,AH,,,,,,,,,
TRESWELL,4,2019,AH,50.67631331,50.62843676,116.8701204,77,,,,,
TRESWELL,6,2019,AH,50.50724638,50.49603175,50.18440721,67.3,,,,,
TRESWELL,1,2021,OK,,67.55725191,88.43595573,195.3,,,,,
TRESWELL,3,2021,OK,64.77434679,63.01487414,275.7541943,306.9,,,,,
TRESWELL,5,2021,OK,,64.43585781,144.2871609,195.3,,,,,
TRESWELL,2,2021,AH,,,,,,,,,
TRESWELL,4,2021,AH,,,,,,,,,
TRESWELL,6,2021,AH,,,,,,,,,
FAITHWAITE,1,2015,OK,62.08944282,63.16484346,1055.73447,2904,,,,,
FAITHWAITE,2,2015,OK,62.42690058,64.95155363,877.5541448,3330,,,,,
FAITHWAITE,3,2015,OK,65.3281097,63.38398597,562.2151137,2028,,,,,
FAITHWAITE,4,2015,OK,65.20051746,61.94196429,574.4282643,1857,,,,,
FAITHWAITE,1,2015,BI,64.01477833,60.3267807,915.9868809,2092,,,,,
FAITHWAITE,2,2015,BI,60.51483421,60.45837724,430.1685948,1259,,,,,
FAITHWAITE,1,2015,ALD,67.40273396,,,,,,,,
FAITHWAITE,1,2016,OK,56.79012346,55.32144787,460.1752529,3777,,,,,
FAITHWAITE,2,2016,OK,58.40301003,58.14741598,925.164711,3940,,,,,
FAITHWAITE,3,2016,OK,57.77841561,56.8489714,596.8545549,2856,,,,,
FAITHWAITE,4,2016,OK,57.73104265,56.50903294,542.8277243,3777,,,,,
FAITHWAITE,1,2016,BI,58.73224619,58.25944171,288.0451981,1139,,,,,
FAITHWAITE,2,2016,BI,57.99915576,57.76960091,620.3499493,2097,,,,,
FAITHWAITE,1,2016,ALD,56.30162703,,,,,,,,
FAITHWAITE,1,2017,OK,49.97034401,47.07166709,1118.038275,4397,,,,,
FAITHWAITE,2,2017,OK,41.63354531,40.04112808,2030.911254,4106,,,,,
FAITHWAITE,3,2017,OK,42.96187683,42.74959463,1530.587125,3631,,,,,
FAITHWAITE,4,2017,OK,43.15913095,45.09036145,2548.154623,3722,,,,,
FAITHWAITE,1,2017,BI,42.74839744,40.56521739,550.3695711,1806,,,,,
FAITHWAITE,2,2017,BI,43.42857143,42.98315958,871.946289,1752,,,,,
FAITHWAITE,1,2017,ALD,43.96624473,,,,,,,,
FAITHWAITE,1,2018,OK,54.66777409,54.41554923,2031.090016,5812,,,,,
FAITHWAITE,2,2018,OK,53.16617085,53.22777101,1488.339461,2887,,,,,
FAITHWAITE,3,2018,OK,51.43745144,53.4131933,1915.601914,5435,,,,,
FAITHWAITE,4,2018,OK,50.17367812,51.92417062,1254.722565,5208,,,,,
FAITHWAITE,1,2018,BI,57.49312557,59.2609216,506.5072839,1547,,,,,
FAITHWAITE,2,2018,BI,50.46153846,49.3531586,766.0349387,4642,,,,,
FAITHWAITE,1,2018,ALD,56.62148071,,,,,,,,
FAITHWAITE,1,2019,OK,45.23348991,44.1813151,9216.414569,7894,,,,,
FAITHWAITE,2,2019,OK,43.45549738,41.91502215,5487.934749,9422,,,,,
FAITHWAITE,3,2019,OK,43.44365312,41.43119688,3320.157897,9367,,,,,
FAITHWAITE,4,2019,OK,42.98482293,40.63439329,5979.971071,9506,,,,,
FAITHWAITE,1,2019,BI,44.58695652,43.5840708,1548.031808,2418,,,,,
FAITHWAITE,2,2019,BI,44.59459459,44.04547095,2634.236735,2359,,,,,
FAITHWAITE,1,2019,ALD,45.42772861,,, ,,,,,
FAITHWAITE,1,2020,OK,,,,1417,,,,,
FAITHWAITE,2,2020,OK,,,,1186,,,,,
FAITHWAITE,3,2020,OK,44.54258675,,,868,,,,,
